Player Name,Shootscore,Shootscore Index
Eddy Curry,180.78706101382687,-4.513951012223763
Thomas Robinson,-6.239491106001617,-4.4927005088539245
Aaron Gray,33.12758046035016,-4.453606432763172
Miles Plumlee,38.13043891547255,-4.4086507882706165
Adonal Foyle,146.07810956411305,-4.357837018644118
Linton Johnson,24.07079147179251,-4.343220708849932
J.J. Hickson,81.14604910465634,-4.338570529692372
Aaron Williams,108.92251017845093,-4.304287374680194
Mateen Cleaves,26.700146557692605,-4.2998328067098734
Dale Davis,70.28114621080599,-4.29169794111021
Ronnie Brewer,75.05223437574672,-4.285268100624682
Adrian Griffin,108.92243575300508,-4.282307114883068
Alex Len,4.509034623052882,-4.2224379250664095
Michael Kidd-Gilchrist,48.780356740110705,-4.185148541247571
Greg Smith,10.829813610242704,-4.179886628820037
Sasha Pavlović,155.56294565523825,-4.165401066498266
